"Dataset","Feature","Baseline_RMSE","Permuted_RMSE","RMSE_Increase"
"Newborn","APR.DRG.Code",3.35110634405707,6.08472011148078,2.73361376742371
"Newborn","Birth.Weight",3.35110634405707,5.99319171203126,2.64208536797419
"Newborn","APR.Severity.of.Illness.Code",3.35110634405707,4.97686873101965,1.62576238696259
"Newborn","Patient.Disposition",3.35110634405707,4.33185651634964,0.980750172292578
"Newborn","CCS.Procedure.Code",3.35110634405707,3.9247939630896,0.573687619032537
"Newborn","APR.Risk.of.Mortality",3.35110634405707,3.82290927090633,0.471802926849262
"Newborn","APR.Medical.Surgical.Description",3.35110634405707,3.60149199406701,0.250385650009947
"Newborn","Facility.Id",3.35110634405707,3.58428985462496,0.233183510567897
"Newborn","Operating.Certificate.Number",3.35110634405707,3.57677204033818,0.225665696281118
"Newborn","Zip.Code...3.digits",3.35110634405707,3.55752216473436,0.20641582067729
"Non-newborn","APR.Severity.of.Illness.Code",5.04196211497395,6.44292217344992,1.40096005847597
"Non-newborn","APR.DRG.Code",5.04196211497395,6.17943055730296,1.13746844232902
"Non-newborn","APR.MDC.Code",5.04196211497395,6.16243153872437,1.12046942375042
"Non-newborn","Patient.Disposition",5.04196211497395,5.84820316743853,0.806241052464585
"Non-newborn","CCS.Diagnosis.Code",5.04196211497395,5.73724526768497,0.695283152711024
"Non-newborn","CCS.Procedure.Code",5.04196211497395,5.66980775230905,0.627845637335106
"Non-newborn","APR.Risk.of.Mortality",5.04196211497395,5.6405263695097,0.598564254535749
"Non-newborn","Operating.Certificate.Number",5.04196211497395,5.36254843613804,0.320586321164095
"Non-newborn","Facility.Name",5.04196211497395,5.35087078680892,0.308908671834971
"Non-newborn","Facility.Id",5.04196211497395,5.3270833044299,0.285121189455955
