"APR DRG Description","Frequency","APR DRG Code"
"Neonate birthwt >2499g, normal newborn or neonate w other problem",195055,640
"Vaginal delivery",141887,560
"Septicemia & disseminated infections",93295,720
"Cesarean delivery",74520,540
"Heart failure",56688,194
"Other pneumonia",40835,139
"Knee joint replacement",39800,302
"Chronic obstructive pulmonary disease",38009,140
"Schizophrenia",36284,750
"Cellulitis & other skin infections",33210,383
"Hip joint replacement",32872,301
"Cardiac arrhythmia & conduction disorders",32458,201
"Kidney & urinary tract infections",29784,463
"RENAL FAILURE",29105,460
"CVA & precerebral occlusion w infarct",25723,45
"Bipolar disorders",25398,753
"Seizure",25270,53
"Major depressive disorders & other/unspecified psychoses",23512,751
"Percutaneous coronary intervention w/o AMI",22256,175
"Alcohol abuse & dependence",22133,775
